   114/299     2.46G   0.02142   0.01533  0.001331   0.03808        29       640    0.7141    0.8357    0.8201    0.5901    0.0275   0.01877  0.003592
   115/299     2.46G   0.02134   0.01496  0.001518   0.03782        22       640    0.7601    0.8373    0.8245    0.5952   0.02743   0.01892  0.003745
   116/299     2.46G   0.02102   0.01553   0.00144   0.03798        39       640    0.7516     0.847    0.8342    0.5992   0.02744   0.01892  0.004549
   117/299     2.46G   0.02135   0.01552  0.001389   0.03826        33       640    0.7618    0.8354    0.8346    0.6015   0.02721   0.01959  0.004018
   118/299     2.46G   0.02118    0.0147  0.001386   0.03726        12       640     0.741    0.8534    0.8461    0.6073   0.02723   0.01876  0.003879
   119/299     2.46G   0.02046   0.01467  0.001323   0.03645        31       640    0.7507    0.8472    0.8366    0.6044     0.027   0.01889  0.003772
   120/299     2.46G   0.02077   0.01467  0.001342   0.03678        33       640    0.7652    0.8552    0.8451     0.604    0.0271   0.01897  0.003129
   121/299     2.46G   0.02032   0.01456  0.001682   0.03656        34       640    0.7463     0.835    0.8335    0.6104   0.02707   0.01899    0.0036
   122/299     2.46G    0.0206   0.01495  0.001439   0.03698        16       640    0.7444    0.8501    0.8334    0.5974    0.0271   0.01892  0.003473
   123/299     2.46G   0.02081   0.01516   0.00134   0.03731        29       640     0.735    0.8386    0.8247    0.5954   0.02725   0.01879  0.003025
   124/299     2.46G   0.01986   0.01438  0.001428   0.03566        13       640    0.7681    0.8487    0.8422    0.5981   0.02693   0.01932  0.003195
   125/299     2.46G   0.02057   0.01458   0.00133   0.03647        27       640    0.7553    0.8427    0.8352    0.5992   0.02719   0.01906  0.003281
   126/299     2.46G   0.02034   0.01403  0.001452   0.03583        26       640    0.7437    0.8517    0.8506    0.6073   0.02666   0.01863  0.003623
   127/299     2.46G   0.01962   0.01382  0.001294   0.03473        17       640    0.7613    0.8514     0.848     0.613   0.02666   0.01871  0.003103
   128/299     2.46G   0.02065   0.01422   0.00134   0.03621        22       640     0.767    0.8539     0.852    0.6069   0.02642   0.01863  0.003146
   129/299     2.46G    0.0203   0.01454  0.001295   0.03613        25       640     0.743    0.8396    0.8365    0.5986   0.02696     0.019  0.004181
   130/299     2.46G   0.02051   0.01449  0.001545   0.03654        23       640    0.7601    0.8581    0.8503    0.6071   0.02731   0.01891  0.003503
   131/299     2.46G   0.02075   0.01506  0.001894    0.0377        18       640    0.7457    0.8411    0.8465     0.607   0.02679   0.01881  0.003299
   132/299     2.46G   0.02055   0.01487  0.001746   0.03717        20       640    0.7458    0.8363    0.8373     0.599   0.02717   0.01934  0.003688
   133/299     2.46G   0.02039   0.01473  0.001804   0.03692        30       640    0.7347    0.8489    0.8378    0.5951   0.02712   0.01884  0.003516
   134/299     2.46G   0.02059   0.01466  0.001379   0.03663        23       640    0.7446    0.8374    0.8423    0.6087    0.0271   0.01913  0.003593
   135/299     2.46G   0.02019     0.015  0.001199   0.03639        32       640    0.7613    0.8485    0.8468    0.6122   0.02659   0.01866  0.003349
   136/299     2.46G   0.01982   0.01455  0.001442   0.03581        13       640    0.7628    0.8413    0.8471    0.6078   0.02652   0.01851  0.003654
   137/299     2.46G   0.01944   0.01438  0.001249   0.03506        22       640    0.7613    0.8391    0.8393    0.5977   0.02702   0.01924  0.003345
   138/299     2.46G   0.02036   0.01425  0.001179   0.03579        29       640    0.7579     0.845    0.8399    0.6122   0.02721   0.01906  0.003081
   139/299     2.46G   0.02006   0.01465  0.001144   0.03585        14       640     0.759    0.8476    0.8453    0.6161   0.02701   0.01912  0.003207
   140/299     2.46G   0.01983   0.01378  0.001178   0.03479        26       640    0.7592    0.8476    0.8459    0.6131   0.02697   0.01893  0.003289
   141/299     2.46G    0.0194   0.01401   0.00133   0.03474        56       640    0.7485     0.848    0.8453    0.6171   0.02686   0.01922  0.002971
   142/299     2.46G   0.01924   0.01388  0.001039   0.03416        18       640    0.7887    0.8415    0.8508    0.6116   0.02667    0.0193  0.003233
   143/299     2.46G   0.02001   0.01444   0.00139   0.03584        15       640    0.7439    0.8387    0.8367    0.6031   0.02707   0.01916  0.003792
   144/299     2.46G   0.01985   0.01407  0.001473    0.0354        67       640    0.7758     0.836    0.8341    0.6095   0.02646   0.01936   0.00327
   145/299     2.46G   0.01936   0.01399  0.001407   0.03476        26       640    0.7676    0.8525    0.8416    0.6069   0.02655   0.01921  0.003433
   146/299     2.46G   0.01966   0.01379  0.001241   0.03469        16       640    0.7648    0.8416    0.8511    0.6184   0.02653   0.01899    0.0035
   147/299     2.46G   0.01972   0.01403  0.001152    0.0349        43       640    0.7807    0.8496    0.8416    0.6173   0.02626   0.01917  0.003957
   148/299     2.46G     0.019   0.01378  0.001143   0.03392        14       640    0.7721    0.8314    0.8342    0.6164   0.02681   0.01947   0.00323
   149/299     2.46G   0.01914   0.01333  0.001124    0.0336        24       640    0.7797    0.8508    0.8525    0.6176   0.02646   0.01901  0.002867
   150/299     2.46G   0.01931   0.01354  0.001117   0.03398        29       640     0.771    0.8409    0.8454    0.6177   0.02652   0.01904  0.003348
   151/299     2.46G   0.01951   0.01377   0.00117   0.03445        26       640    0.7693    0.8569    0.8515    0.6162    0.0266   0.01911   0.00352
   152/299     2.46G    0.0188   0.01385 0.0009591   0.03361        30       640    0.7605    0.8594    0.8496     0.615   0.02665     0.019  0.003105
   153/299     2.46G   0.01864   0.01333 0.0009157   0.03289        20       640    0.7831    0.8567    0.8539    0.6218   0.02698   0.01919  0.003139
   154/299     2.46G   0.01878   0.01322  0.001167   0.03317        18       640    0.7945    0.8561    0.8552    0.6148   0.02683    0.0194  0.003485
   155/299     2.46G   0.01936    0.0143  0.001209   0.03487        17       640    0.7794    0.8547    0.8461    0.6199   0.02671   0.01862  0.003439
   156/299     2.46G   0.01944    0.0143  0.001298   0.03504        59       640    0.7583    0.8528     0.842    0.6173   0.02599   0.01873  0.003651
   157/299     2.46G   0.01913   0.01336  0.001116   0.03361        35       640    0.7726    0.8499    0.8409    0.6203    0.0269   0.01979  0.003774
   158/299     2.46G   0.01896    0.0134  0.001152   0.03352        17       640    0.7651    0.8591    0.8499    0.6244   0.02661   0.01935  0.003458
   159/299     2.46G   0.01913   0.01401  0.001179   0.03432        21       640    0.7935    0.8544    0.8597    0.6216   0.02676    0.0192  0.003462
   160/299     2.46G   0.01902   0.01362  0.001195   0.03384        39       640     0.776     0.858    0.8576    0.6188   0.02637   0.01922  0.003774
   161/299     2.46G   0.01891   0.01382  0.001291   0.03402        19       640    0.7841    0.8499    0.8429    0.6139   0.02704   0.01932  0.003654
   162/299     2.46G   0.01851   0.01332  0.001228   0.03305        30       640    0.7896     0.854    0.8537    0.6236   0.02661    0.0191  0.002563
   163/299     2.46G   0.01895   0.01434  0.001079   0.03436        52       640     0.787    0.8486    0.8543    0.6283   0.02689   0.01933  0.002783
   164/299     2.46G   0.01849   0.01344  0.001055   0.03298        23       640    0.7867    0.8569    0.8526    0.6359   0.02666   0.01931  0.003432
   165/299     2.46G   0.01867    0.0133  0.001152   0.03312        35       640    0.7753    0.8537    0.8426    0.6293   0.02631   0.01994  0.003247
   166/299     2.46G   0.01892   0.01391  0.001016   0.03385        33       640    0.7563    0.8506     0.843    0.6158   0.02672   0.01939  0.003138
   167/299     2.46G   0.01819   0.01383  0.001014   0.03303        17       640    0.7859    0.8371     0.845    0.6221   0.02652   0.01922  0.003427
   168/299     2.46G   0.01793   0.01338  0.000977   0.03228        20       640    0.7988    0.8524    0.8551    0.6307   0.02655   0.01886  0.003157
