   102/199     2.51G   0.03886  0.009273  0.002881   0.05102         6       640    0.7926         1    0.9887    0.7476   0.01888  0.004104  0.001545
   103/199     2.51G   0.03702  0.008637   0.00208   0.04774         7       640    0.8941         1    0.9951    0.7848    0.0164   0.00389   0.00154
   104/199     2.51G   0.03421  0.008007  0.002104   0.04432         6       640    0.8649         1     0.995    0.8315   0.01781  0.004021  0.001459
   105/199     2.51G   0.03734  0.009121  0.001858   0.04832        11       640    0.8744         1    0.9952    0.6613   0.02069   0.00398  0.001432
   106/199     2.51G   0.04047  0.008124  0.001833   0.05043         4       640    0.9581         1    0.9952    0.7385   0.02026  0.004133  0.001407
   107/199     2.51G   0.04375  0.009186  0.001809   0.05475         6       640    0.8811         1    0.9945    0.6259   0.02475  0.004343  0.001457
   108/199     2.51G   0.03987  0.008927  0.002207     0.051         6       640    0.9707         1    0.9942    0.8049   0.01812  0.003806  0.001453
   109/199     2.51G   0.03946  0.008068  0.002071    0.0496         4       640    0.9369         1    0.9944    0.7705   0.01783  0.003894  0.001493
   110/199     2.51G   0.03759  0.007477  0.002041    0.0471         5       640    0.9519         1    0.9949    0.6992    0.0195  0.004003  0.001444
   111/199     2.51G   0.03653  0.007921  0.001859   0.04631         6       640    0.9524         1    0.9946    0.8278    0.0162  0.003903  0.001457
   112/199     2.51G   0.03707  0.008201  0.001889   0.04716         9       640    0.8769         1    0.9936    0.7448   0.02228  0.004106  0.001468
   113/199     2.51G   0.04263  0.007869  0.001817   0.05232         6       640     0.915         1    0.9944    0.8122   0.01639  0.004077  0.001505
   114/199     2.51G   0.03882  0.008822  0.002006   0.04964         8       640    0.9299         1    0.9952    0.8613   0.01868  0.004019   0.00149
   115/199     2.51G   0.04125  0.007906  0.001866   0.05102         6       640    0.8753         1    0.9945     0.767   0.01866  0.003975  0.001487
   116/199     2.51G   0.03477  0.007393  0.001805   0.04396         4       640    0.9456         1     0.995    0.8798   0.01818  0.003686    0.0015
   117/199     2.51G    0.0382  0.008866  0.002022   0.04909         3       640    0.9404         1    0.9953    0.8611   0.01713  0.003738   0.00149
   118/199     2.51G   0.03205  0.007498  0.001693   0.04124         5       640    0.8905         1    0.9894    0.7763   0.01724  0.003801  0.001459
   119/199     2.51G    0.0389  0.007309  0.001771   0.04798         7       640    0.9345         1    0.9924    0.8736   0.01552  0.003647  0.001466
   120/199     2.51G   0.03601  0.007988  0.001768   0.04577         6       640    0.9484         1    0.9953      0.84   0.01615  0.003724  0.001431
   121/199     2.51G   0.03008  0.008293  0.001694   0.04007         7       640     0.946         1    0.9953     0.885   0.01438  0.003574  0.001375
   122/199     2.51G   0.03424  0.006988  0.001597   0.04283         3       640    0.9366         1    0.9953    0.8639   0.01363  0.003486  0.001366
   123/199     2.51G   0.02965  0.008605  0.001548   0.03981         6       640     0.955         1    0.9953    0.8313   0.01671  0.003652  0.001303
   124/199     2.51G   0.03158  0.008024  0.001552   0.04115         5       640     0.946         1    0.9953    0.8392   0.01626   0.00357  0.001269
   125/199     2.51G   0.03536  0.008879    0.0016   0.04584         6       640    0.9358         1    0.9942    0.7982   0.01794  0.003457  0.001251
